Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
149,"[27.47, 79.68]",17,5,7394.0696,0.6031,Hardoi,Rejected,0.0,0.0,0.0,0.0
150,"[27.48, 79.68]",9,1,3642.3866,0.5989,Hardoi,Rejected,0.0,0.0,0.0,0.0
151,"[27.49, 79.68]",0,0,0.0,0.1739,Hardoi,Rejected,0.0,0.0,0.0,0.0
152,"[27.5, 79.68]",12,1,2839.0032,0.6365,Hardoi,Rejected,0.0,0.0,0.0,0.0
153,"[27.51, 79.68]",0,0,0.0,0.1224,Hardoi,Rejected,0.0,0.0,0.0,0.0
154,"[27.52, 79.68]",0,0,703.9284,0.4888,Hardoi,Rejected,0.0,0.0,0.0,0.0
155,"[27.53, 79.68]",0,0,1138.3316,0.6193,Hardoi,Rejected,0.0,0.0,0.0,0.0
156,"[27.54, 79.68]",1,0,1358.1419,0.5578,Hardoi,Rejected,0.0,0.0,0.0,0.0
157,"[27.55, 79.68]",0,0,1129.6113,0.5869,Hardoi,Rejected,0.0,0.0,0.0,0.0
158,"[27.56, 79.68]",0,0,1126.1562,0.6257,Hardoi,Rejected,0.0,0.0,0.0,0.0
159,"[27.57, 79.68]",0,0,1114.9238,0.598,Hardoi,Rejected,0.0,0.0,0.0,0.0
160,"[27.58, 79.68]",0,0,1114.9174,0.6081,Hardoi,Rejected,0.0,0.0,0.0,0.0
161,"[27.59, 79.68]",0,0,1009.7455,0.5111,Hardoi,Rejected,0.0,0.0,0.0,0.0
162,"[27.6, 79.68]",0,0,0.0,0.3102,Hardoi,Rejected,0.0,0.0,0.008766,0.0
163,"[27.61, 79.68]",0,0,0.0,0.1869,Hardoi,Rejected,0.0,0.0,0.039445,0.0
164,"[27.62, 79.68]",0,0,0.0,0.4019,Hardoi,Rural,0.0,0.0,0.659606,0.0
165,"[27.63, 79.68]",0,0,0.0,0.265,Hardoi,Rural,0.0,0.0,1.0,0.0
166,"[27.64, 79.68]",0,0,0.0,0.1897,Hardoi,Rural,0.0,0.0,0.831994,0.0
167,"[27.65, 79.68]",0,0,0.0,0.1356,Hardoi,Rejected,0.0,0.0,0.484295,0.0
168,"[27.66, 79.68]",0,0,0.0,0.1228,Hardoi,Rejected,0.0,0.0,0.062089,0.0
169,"[27.67, 79.68]",0,0,0.0,0.3233,Hardoi,Rejected,0.0,0.0,0.0,0.0
170,"[27.68, 79.68]",0,0,1426.6658,0.6544,Hardoi,Rejected,0.0,0.0,0.0,0.0
171,"[27.69, 79.68]",0,0,99.2682,0.341,Hardoi,Rejected,0.0,0.0,0.0,0.0
172,"[27.7, 79.68]",0,0,0.0,0.1543,Hardoi,Rejected,0.0,0.0,0.0,0.0
173,"[27.71, 79.68]",0,0,0.0,0.3236,Hardoi,Rejected,0.0,0.0,0.0,0.0
174,"[27.72, 79.68]",11,0,4825.2319,0.5077,Hardoi,Rejected,0.0,0.0,0.0,0.0
175,"[27.73, 79.68]",24,1,5834.736999999999,0.5281,Hardoi,Rejected,0.0,0.0,0.0,0.0
176,"[27.74, 79.68]",25,1,6116.1195,0.5397,Hardoi,Rejected,0.0,0.0,0.0,0.0
177,"[27.75, 79.68]",1,1,2228.1872,0.3947,Hardoi,Rejected,0.0,0.0,0.0,0.0
178,"[27.76, 79.68]",17,1,6025.6676,0.563,Hardoi,Rejected,0.0,0.0,0.0,0.0
179,"[27.77, 79.68]",12,0,4636.2172,0.5698,Hardoi,Rejected,0.0,0.0,0.0,0.0
180,"[27.78, 79.68]",8,0,3800.0814,0.5849,Hardoi,Rejected,0.0,0.0,0.0,0.0
181,"[27.79, 79.68]",0,0,1046.0524,0.518,Hardoi,Rejected,0.0,0.0,0.0,0.0
182,"[26.89, 79.69]",0,0,0.0,0.0,Hardoi,Rejected,0.0,0.0,0.0,0.0
183,"[26.9, 79.69]",0,0,0.0,0.0,Hardoi,Rejected,0.0,0.0,0.0,0.0
184,"[26.91, 79.69]",0,0,0.0,0.0,Hardoi,Rejected,0.0,0.0,0.0,0.0
185,"[26.92, 79.69]",0,0,0.0,0.0,Hardoi,Rejected,0.0,0.0,0.0,0.0
186,"[26.93, 79.69]",0,0,0.0,0.3033,Hardoi,Rejected,0.0,0.0,0.0,0.0
187,"[26.94, 79.69]",0,0,1003.0981,0.5614,Hardoi,Rejected,0.0,0.0,0.0,0.0
188,"[26.95, 79.69]",0,0,0.0,0.14800000000000002,Hardoi,Rejected,0.0,0.0,0.0,0.0
189,"[26.96, 79.69]",0,0,0.0,0.0,Hardoi,Rejected,0.0,0.0,0.0,0.0
190,"[26.97, 79.69]",0,0,0.0,0.0,Hardoi,Rejected,0.0,0.0,0.0,0.0
191,"[26.98, 79.69]",0,0,0.0,0.0,Hardoi,Rejected,0.0,0.0,0.0,0.0
192,"[26.99, 79.69]",0,0,0.0,0.1457,Hardoi,Rejected,0.0,0.0,0.0,0.0
193,"[27.0, 79.69]",0,0,64.20100000000001,0.4473,Hardoi,Rejected,0.0,0.0,0.0,0.0
194,"[27.01, 79.69]",0,0,1397.9467,0.5729,Hardoi,Rejected,0.0,0.0,0.0,0.0
195,"[27.02, 79.69]",0,0,0.0,0.2343,Hardoi,Rejected,0.0,0.0,0.0,0.0
