Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
1195,"[23.6, 85.78]",0,0,837.9384,0.4042,Bokaro,Rejected,0.0,0.0,0.140979,0.0
1196,"[23.61, 85.78]",0,0,558.7374,0.4113,Bokaro,Rejected,0.0,0.0,0.437546,0.0
1197,"[23.62, 85.78]",0,0,696.7635,0.4762,Bokaro,Rural,0.0,0.0,0.8371069999999999,0.0
1198,"[23.63, 85.78]",0,0,0.0,0.1474,Bokaro,Rural,0.0,0.0,1.0,0.0
1199,"[23.64, 85.78]",0,0,0.0,0.1357,Bokaro,Rural,0.0,0.0,1.0,0.0
1200,"[23.65, 85.78]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1201,"[23.66, 85.78]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1202,"[23.67, 85.78]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1203,"[23.68, 85.78]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.38860500000000003,0.611395,0.0
1204,"[23.69, 85.78]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.308254,0.691746,0.0
1205,"[23.7, 85.78]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1206,"[23.71, 85.78]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1207,"[23.72, 85.78]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1208,"[23.73, 85.78]",0,0,0.0,0.1483,Bokaro,Rural,0.0,0.0,1.0,0.0
1209,"[23.74, 85.78]",0,0,0.0,0.2829,Bokaro,Rural,0.0,0.0,1.0,0.0
1210,"[23.75, 85.78]",0,0,0.0,0.2702,Bokaro,Rural,0.0,0.0,1.0,0.0
1211,"[23.76, 85.78]",0,0,0.0,0.0899,Bokaro,Rural,0.0,0.0,1.0,0.0
1212,"[23.77, 85.78]",0,0,205.8416,0.3156,Bokaro,Rural,0.0,0.0,1.0,0.0
1213,"[23.78, 85.78]",0,0,1076.8211,0.5996,Bokaro,Rural,0.0,0.0,1.0,0.0
1214,"[23.79, 85.78]",0,0,0.0,0.1962,Bokaro,Rural,0.0,0.0,1.0,0.0
1215,"[23.8, 85.78]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1216,"[23.81, 85.78]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1217,"[23.82, 85.78]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1218,"[23.83, 85.78]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
