Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
202,"[24.8, 85.84]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
203,"[24.81, 85.84]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
204,"[24.82, 85.84]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
205,"[24.83, 85.84]",0,0,0.0,0.1743,Jamui,Rejected,0.0,0.0,0.0,0.0
206,"[24.84, 85.84]",0,0,437.9705,0.3888,Jamui,Rejected,0.0,0.0,0.0,0.0
207,"[24.85, 85.84]",0,0,627.5074,0.4268,Jamui,Rejected,0.0,0.0,0.0,0.0
208,"[24.86, 85.84]",0,0,284.4819,0.3294,Jamui,Rejected,0.0,0.0,0.0,0.0
209,"[24.87, 85.84]",0,0,1065.2996,0.5433,Jamui,Rejected,0.0,0.0,0.0,0.0
210,"[24.88, 85.84]",0,0,0.0,0.2291,Jamui,Rejected,0.0,0.0,0.0,0.0
211,"[24.89, 85.84]",0,0,0.0,0.1666,Jamui,Rejected,0.0,0.0,0.0,0.0
212,"[24.9, 85.84]",0,0,0.0,0.1238,Jamui,Rejected,0.0,0.0,0.0,0.0
213,"[24.91, 85.84]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.018262,0.0
214,"[24.92, 85.84]",0,0,0.0,0.1547,Jamui,Rural,0.0,0.0,0.612376,0.0
215,"[24.93, 85.84]",0,0,1011.7286,0.4425,Jamui,Rural,0.0,0.0,0.947407,0.0
216,"[24.94, 85.84]",0,0,0.0,0.2547,Jamui,Rejected,0.0,0.0,0.273923,0.0
217,"[24.95, 85.84]",0,0,0.0,0.2195,Jamui,Rejected,0.0,0.0,0.042367,0.0
218,"[24.96, 85.84]",0,0,0.0,0.1762,Jamui,Rejected,0.0,0.0,0.43462399999999995,0.0
219,"[24.97, 85.84]",0,0,0.0,0.375,Jamui,Rural,0.0,0.0,0.991965,0.0
220,"[24.98, 85.84]",0,0,1057.3337,0.5412,Jamui,Rural,0.0,0.0,0.569759,0.0
221,"[24.99, 85.84]",0,0,1150.8932,0.5071,Jamui,Rejected,0.0,0.0,0.0,0.0
222,"[25.0, 85.84]",0,0,1162.2233,0.6301,Jamui,Rejected,0.0,0.0,0.0,0.0
223,"[25.01, 85.84]",0,0,1133.9821,0.6053,Jamui,Rejected,0.0,0.0,0.0,0.0
224,"[25.02, 85.84]",1,0,1373.3557,0.5318,Jamui,Rejected,0.0,0.0,0.0,0.0
225,"[25.03, 85.84]",0,0,1235.4776,0.5479,Jamui,Rejected,0.0,0.0,0.0,0.0
226,"[25.04, 85.84]",0,0,0.0,0.2349,Jamui,Rejected,0.0,0.0,0.0,0.0
227,"[25.05, 85.84]",0,0,0.0,0.2591,Jamui,Rejected,0.0,0.0,0.0,0.0
228,"[25.06, 85.84]",0,0,717.7528,0.45899999999999996,Jamui,Rejected,0.0,0.0,0.0,0.0
229,"[25.07, 85.84]",0,0,200.5956,0.3902,Jamui,Rejected,0.0,0.0,0.0,0.0
230,"[25.08, 85.84]",0,0,0.0,0.4071,Jamui,Rejected,0.0,0.0,0.0,0.0
231,"[25.09, 85.84]",0,0,0.0,0.3879,Jamui,Rejected,0.0,0.0,0.0,0.0
