Grid_number,school,primary_school,bus_station,taxi_stand,train_station,bank,local_government_office,police,doctor,hospital,department_store,supermarket
195,None,None,None,None,None,None,None,None,None,None,None,None
196,None,None,None,None,None,None,None,None,None,None,None,None
197,[[24.7521953 85.8464501]],None,None,None,None,None,None,None,None,None,None,None
198,None,None,None,None,None,None,None,None,None,None,None,None
199,None,None,None,None,None,None,None,None,None,None,None,None
200,None,None,None,None,None,None,None,None,None,None,None,None
201,None,None,None,None,None,None,None,None,None,None,None,None
202,None,None,None,None,None,None,None,None,None,None,None,None
203,None,None,None,None,None,None,None,None,[[24.8170869 85.8430149]],None,None,None
204,[[24.8288638 85.8435049]],None,None,None,None,None,None,None,None,None,None,None
205,None,None,None,None,None,None,None,None,None,None,None,None
206,None,None,None,None,None,None,None,None,None,None,None,None
207,[[24.8552575 85.8449954]],None,None,None,None,None,None,None,None,None,None,None
208,"[[24.8620577 85.8441927]
 [24.869996  85.8435262]]",None,None,None,None,None,None,None,None,None,None,None
209,"[[24.8747205 85.8412498]
 [24.8729586 85.841177 ]
 [24.8727119 85.8435701]]",None,None,None,None,[[24.8735961 85.8424352]],None,None,[[24.8749138 85.8409875]],"[[24.8746011 85.8417553]
 [24.872369  85.8441522]
 [24.8731392 85.8431864]]",None,[[24.8752894 85.8412229]]
210,[[24.8807136 85.8492708]],None,None,None,None,None,None,None,None,None,None,None
211,None,None,None,None,None,None,None,None,None,None,None,None
212,[[24.905177  85.8441082]],None,None,None,None,None,None,None,None,None,None,None
213,[[24.9146785 85.8409453]],None,None,None,None,None,None,None,None,None,None,None
214,"[[24.9229323 85.8433706]
 [24.9257463 85.8433022]
 [24.9256857 85.8420886]]","[[24.9229323 85.8433706]
 [24.9257463 85.8433022]]",None,None,None,None,None,None,None,None,None,None
215,None,None,None,None,None,None,None,None,None,None,None,None
216,"[[24.9411068 85.8486796]
 [24.9411097 85.8486461]]",None,None,None,None,None,None,None,None,None,None,None
217,None,None,None,None,None,None,None,None,None,None,None,None
218,None,None,None,None,None,None,None,None,[[24.9675164 85.8409033]],None,None,None
219,[[24.9798927 85.8430877]],None,None,None,None,None,None,None,None,None,None,None
220,"[[24.9815909 85.8427615]
 [24.9811993 85.8433177]]",None,None,None,None,None,None,None,[[24.9836991 85.8409345]],None,None,None
221,None,None,None,None,None,None,None,None,None,None,None,None
222,None,None,None,None,None,None,None,None,None,None,None,None
223,"[[25.0175147 85.8437022]
 [25.0178766 85.8438524]
 [25.0159117 85.8453484]
 [25.0118662 85.8449129]
 [25.0116909 85.8424738]]",None,None,None,None,None,None,None,None,None,None,None
224,"[[25.02247695 85.84953085]
 [25.0274953  85.8485565 ]]",None,None,None,None,[[25.0212447 85.8469248]],None,None,None,None,None,None
225,[[25.0392229 85.8402713]],None,None,None,None,None,None,None,[[25.0384865 85.8409003]],None,None,None
226,None,None,None,None,None,None,None,None,None,None,None,None
227,None,None,None,None,None,None,None,None,None,None,None,None
228,"[[25.0657407 85.8485836]
 [25.0642937 85.8447846]
 [25.0662866 85.8475017]
 [25.0662435 85.8465299]]",None,None,None,None,None,None,None,None,None,None,None
229,"[[25.0744435 85.8407307]
 [25.0779655 85.8439906]]",None,None,None,None,None,None,None,None,None,None,None
230,None,None,None,None,None,None,None,None,None,None,None,None
231,[[25.099614  85.8431111]],None,None,None,None,None,None,None,None,None,None,None
232,None,None,None,None,None,None,None,None,None,None,None,None
233,None,None,None,None,None,None,None,None,None,[[25.1162812 85.8435535]],None,None
234,[[25.1283167 85.8428875]],None,None,None,None,None,None,None,None,None,None,None
235,"[[25.1394217 85.8414565]
 [25.1393809 85.8415136]
 [25.1328637 85.8401535]
 [25.1379094 85.841775 ]
 [25.131296  85.8403478]
 [25.1304545 85.8408524]
 [25.1301017 85.8498664]
 [25.1335567 85.8496597]
 [25.1337075 85.8484058]
 [25.1335503 85.8484501]
 [25.1334125 85.8478196]
 [25.1333603 85.8471824]
 [25.1328658 85.847192 ]
 [25.1325957 85.8469437]
 [25.1316881 85.8468582]
 [25.1330386 85.8439527]
 [25.1331439 85.8434102]
 [25.1333245 85.8427916]
 [25.1323844 85.8430333]
 [25.1307374 85.844296 ]
 [25.1304379 85.8420369]]",None,None,None,None,"[[25.134032  85.840449 ]
 [25.1305423 85.8406093]
 [25.1318139 85.8455856]
 [25.1310748 85.8419578]]","[[25.1336013 85.8409113]
 [25.1333788 85.8408625]
 [25.1314365 85.8429187]]","[[25.1322433 85.8451613]
 [25.1318361 85.8448616]]","[[25.1349863 85.8403624]
 [25.1305409 85.8400076]]","[[25.1330161 85.8415652]
 [25.1333032 85.8410928]
 [25.1323042 85.8406966]
 [25.1315628 85.8404252]
 [25.1329472 85.8416004]
 [25.1310495 85.8415984]
 [25.1325471 85.8499316]
 [25.1321693 85.8454575]
 [25.1329165 85.8429267]
 [25.1325957 85.8431168]]",None,"[[25.1313096 85.8417254]
 [25.13084   85.8421787]
 [25.1310449 85.8419532]]"
236,"[[25.1417503 85.8481121]
 [25.1420686 85.843436 ]
 [25.1439868 85.8452182]
 [25.1439616 85.8451379]
 [25.1451948 85.8449303]
 [25.145165  85.844822 ]]",None,None,None,None,None,None,None,[[25.1409169 85.8463842]],"[[25.1409253 85.8429633]
 [25.1430842 85.8425113]
 [25.140918  85.845638 ]]",None,None
237,None,None,None,None,None,None,None,None,None,None,None,None
238,None,None,None,None,None,None,None,None,None,None,None,None
239,[[24.3876208 85.8563007]],None,None,None,None,None,None,None,None,None,None,None
240,None,None,None,None,None,None,None,None,None,None,None,None
241,None,None,None,None,None,None,None,None,None,None,None,None
242,[[24.4187914 85.8575801]],None,None,None,None,None,None,None,None,None,None,None
243,None,None,None,None,None,None,None,None,None,None,None,None
244,None,None,None,None,None,None,None,None,None,None,None,None
245,None,None,None,None,None,None,None,None,[[24.4431074 85.8585341]],None,None,None
246,None,None,None,None,None,None,None,None,None,None,None,None
247,None,None,None,None,None,None,None,None,None,None,None,None
248,[[24.4752541 85.8502178]],None,None,None,None,None,None,None,None,None,None,None
249,None,None,None,None,None,None,None,None,None,None,None,None
250,None,None,None,None,None,None,None,None,None,None,None,None
251,"[[24.5006757 85.8516106]
 [24.5015893 85.8547958]]",None,None,None,None,None,None,None,None,None,None,None
252,None,None,None,None,None,None,None,None,None,None,None,None
253,None,None,None,None,None,None,None,None,None,None,None,None
254,None,None,None,None,None,None,None,None,None,None,None,None
255,None,None,None,None,None,None,None,None,None,None,None,None
256,None,None,None,None,None,None,None,None,None,None,None,None
257,None,None,None,None,None,None,None,None,None,None,None,None
258,None,None,None,None,None,None,None,None,None,None,None,None
259,None,None,None,None,None,None,None,None,None,None,None,None
260,[[24.5936328 85.8583913]],None,None,None,None,None,None,None,None,None,None,None
261,None,None,None,None,None,None,None,None,None,None,None,None
262,None,None,None,None,None,None,None,None,None,None,None,None
263,None,None,None,None,None,None,None,None,None,None,None,None
264,None,None,None,None,None,None,None,None,None,None,None,None
265,None,None,None,None,None,None,None,None,None,None,None,None
266,None,None,None,None,None,None,None,None,None,None,None,None
267,None,None,None,None,None,None,None,None,None,None,None,None
268,None,None,None,None,None,None,None,None,None,None,None,None
269,"[[24.6847593 85.8509791]
 [24.683164  85.855181 ]
 [24.6859112 85.8502609]]",None,None,None,None,None,None,None,None,[[24.6854668 85.8513627]],None,[[24.683914  85.8541628]]
270,None,None,None,None,None,None,None,None,None,None,None,None
271,None,None,None,None,None,None,None,None,None,None,None,None
272,None,None,None,None,None,None,None,None,None,None,None,None
273,None,None,None,None,None,None,None,None,None,None,None,None
274,None,None,None,None,None,None,None,None,None,None,None,None
275,None,None,None,None,None,None,None,None,None,None,None,None
276,None,None,None,None,None,None,None,None,None,None,None,None
277,None,None,None,None,None,None,None,None,None,None,None,None
278,None,None,None,None,None,None,None,None,None,None,None,None
279,None,None,None,None,None,None,None,None,None,None,None,None
280,None,None,None,None,None,None,None,None,None,None,None,None
281,None,None,None,None,None,None,None,None,None,None,None,None
282,None,None,None,None,None,None,None,None,None,None,None,None
283,None,None,None,None,None,None,None,None,None,None,None,None
284,None,None,None,None,None,None,None,None,None,None,None,None
285,"[[24.8436285 85.8515805]
 [24.8461948 85.8545927]
 [24.8473935 85.8506294]]",None,None,None,None,None,None,None,None,None,None,[[24.8431934 85.8510827]]
286,None,None,None,None,None,None,None,None,None,None,None,None
