Grid_number,school,primary_school,bus_station,taxi_stand,train_station,bank,local_government_office,police,doctor,hospital,department_store,supermarket
142,[[25.9431189 89.7036907]],[[25.9431189 89.7036907]],None,None,None,None,None,None,None,None,None,None
143,None,None,None,None,None,None,None,None,None,None,None,None
144,"[[25.9678909 89.7009994]
 [25.9679656 89.7009381]
 [25.968087  89.701027 ]
 [25.9679674 89.7004244]
 [25.968036  89.7005123]
 [25.9680865 89.7004656]
 [25.9680173 89.7004949]]",None,None,None,None,None,None,None,None,None,None,None
145,None,None,None,None,None,None,None,None,None,None,None,None
146,None,None,None,None,None,None,None,None,None,None,None,None
147,None,None,None,None,None,None,None,None,None,None,None,None
148,[[26.0042997 89.7098926]],None,None,None,None,None,None,None,None,None,None,None
149,None,None,None,None,None,None,None,None,None,None,None,None
150,"[[26.0290549 89.7092823]
 [26.0292381 89.709152 ]
 [26.0290317 89.7096049]
 [26.0292341 89.7095399]]",[[26.0292381 89.709152 ]],None,None,None,None,None,None,None,None,None,None
151,None,None,None,None,None,None,None,None,None,None,None,None
152,"[[26.0431414 89.7084734]
 [26.0431941 89.7084733]]",[[26.0431414 89.7084734]],None,None,None,None,None,None,None,None,None,None
153,"[[26.050314  89.7009066]
 [26.0517847 89.7044447]]",[[26.0517847 89.7044447]],None,None,None,None,None,None,None,None,None,None
154,[[26.0630368 89.7022835]],[[26.0630368 89.7022835]],None,None,None,None,None,None,None,None,None,None
155,None,None,None,None,None,None,None,None,None,None,None,None
156,[[26.0840683 89.7053885]],None,None,None,None,None,[[26.0834172 89.7096116]],None,None,None,None,None
157,"[[26.0973774 89.7083179]
 [26.0947166 89.7060202]
 [26.0946263 89.7063622]
 [26.0945591 89.7062767]
 [26.0940734 89.7060225]]",None,None,None,None,None,None,None,None,None,None,[[26.0979326 89.7075611]]
158,None,None,None,None,None,None,None,None,None,None,None,None
159,None,None,None,None,None,None,None,None,None,None,None,None
160,None,None,None,None,None,None,None,None,None,None,None,None
161,None,None,None,None,None,None,None,None,None,None,None,None
162,None,None,None,None,None,None,None,None,None,None,None,None
163,None,None,None,None,None,None,None,None,None,None,None,None
164,[[26.1660711 89.7021695]],[[26.1660711 89.7021695]],None,None,None,None,None,None,None,None,None,None
165,None,None,None,None,None,None,None,None,None,None,None,None
166,None,None,None,None,None,None,None,None,None,None,None,None
167,None,None,None,None,None,None,None,None,None,None,None,None
168,"[[26.2035993 89.7016663]
 [26.2043796 89.7014436]]",None,None,None,None,None,[[26.2044004 89.7022342]],None,None,None,None,[[26.2026156 89.7018762]]
169,None,None,None,None,None,None,None,None,None,None,None,None
170,None,None,None,None,None,None,None,None,None,None,None,None
171,None,None,None,None,None,None,None,None,None,None,None,None
172,None,None,None,None,None,None,None,None,None,None,None,None
173,None,None,None,None,None,None,None,None,None,None,None,None
174,[[26.2659639 89.7095067]],None,None,None,None,None,None,None,None,None,None,None
175,None,None,None,None,None,None,None,None,None,None,None,None
176,[[26.2840195 89.7066844]],None,None,None,None,None,None,None,None,None,None,None
177,None,None,None,None,None,None,None,None,None,None,None,None
178,None,None,[[26.3098099 89.7037438]],None,None,None,None,None,None,None,None,None
179,[[26.3105097 89.7029487]],[[26.3105097 89.7029487]],None,None,None,None,None,None,None,None,None,None
180,None,None,None,None,None,None,None,None,None,None,None,None
181,None,None,None,None,None,None,None,None,None,None,None,None
182,"[[26.3450222 89.7084295]
 [26.3458962 89.7086179]]",None,None,None,None,None,None,None,None,None,None,[[26.3444628 89.7088539]]
183,"[[26.3529131 89.7099774]
 [26.3528785 89.7099654]]",None,None,None,None,None,None,None,None,None,None,None
184,None,None,None,None,None,None,None,None,None,None,None,None
185,None,None,None,None,None,None,None,None,None,None,None,None
186,[[26.381424  89.7045949]],None,None,None,None,None,None,None,None,None,None,None
187,None,None,None,None,None,None,None,None,None,None,None,None
188,None,None,None,None,None,None,None,None,None,None,None,None
189,None,None,None,None,None,None,None,None,None,None,None,None
190,None,None,None,None,None,None,None,None,None,None,None,None
191,None,None,None,None,None,None,None,None,None,None,None,None
192,None,None,None,None,None,None,None,None,None,None,None,None
193,None,None,None,None,None,None,None,None,None,None,None,None
194,None,None,None,None,None,None,None,None,None,None,None,None
195,None,None,None,None,None,None,None,None,None,None,None,None
196,None,None,None,None,None,None,None,None,None,None,None,None
197,None,None,None,None,None,None,None,None,None,None,None,None
198,None,None,None,None,None,None,None,None,None,None,None,None
199,None,None,None,None,None,None,None,None,None,None,None,None
200,None,None,None,None,None,None,None,None,None,None,None,None
201,None,None,None,None,None,None,None,None,None,None,None,None
202,[[25.5915237 89.7192132]],None,None,None,None,None,None,None,None,None,None,None
203,None,None,None,None,None,None,None,None,None,None,None,None
204,None,None,None,None,None,None,None,None,None,None,None,None
205,None,None,None,None,None,None,None,None,None,None,None,None
206,None,None,None,None,None,None,None,None,None,None,None,None
207,None,None,None,None,None,None,None,None,None,None,None,None
208,None,None,None,None,None,None,None,None,None,None,None,None
209,None,None,None,None,None,None,None,None,None,None,None,None
210,None,None,None,None,None,None,None,None,None,None,None,None
211,None,None,None,None,None,None,None,None,None,None,None,None
212,None,None,None,None,None,None,None,None,None,None,None,None
213,None,None,None,None,None,None,None,None,None,None,None,None
214,None,None,None,None,None,None,None,None,None,None,None,None
215,None,None,None,None,None,None,None,None,None,None,None,None
216,None,None,None,None,None,None,None,None,None,None,None,None
217,None,None,None,None,None,None,None,None,None,None,None,None
