Grid_number,school,primary_school,bus_station,taxi_stand,train_station,bank,local_government_office,police,doctor,hospital,department_store,supermarket
169,"[[27.67064   79.6810815]
 [27.675443  79.6876781]]",[[27.675443  79.6876781]],None,None,None,None,None,None,None,None,None,None
170,None,None,None,None,None,None,None,None,None,None,None,None
171,None,None,None,None,None,None,None,None,None,None,None,None
172,None,None,None,None,None,None,None,None,None,None,None,None
173,[[27.7111813 79.6865747]],None,None,None,None,None,None,None,None,None,None,None
174,None,None,None,None,None,None,None,None,None,None,None,None
175,None,None,None,None,None,None,None,None,None,None,None,None
176,None,None,None,None,None,None,None,None,None,None,None,None
177,None,None,None,None,None,None,None,None,None,None,None,None
178,[[27.7618783 79.68839  ]],None,None,None,None,None,None,None,None,None,None,None
179,[[27.7750198 79.6810814]],None,None,None,None,None,None,None,None,None,None,None
180,None,None,None,None,None,None,None,None,None,None,None,None
181,None,None,None,None,None,None,None,None,None,None,None,None
182,[[26.8963667 79.698885 ]],[[26.8963667 79.698885 ]],None,None,None,None,None,None,None,None,None,None
183,None,None,None,None,None,None,None,None,None,None,None,None
184,[[26.9147327 79.6965371]],None,None,None,None,None,None,None,None,None,None,None
185,[[26.9224427 79.6934791]],None,None,None,None,None,None,None,None,None,None,None
186,[[26.9320282 79.6953855]],None,None,None,None,None,None,None,None,None,None,None
187,[[26.9440396 79.6949349]],[[26.9440396 79.6949349]],None,None,None,None,None,None,None,None,None,None
188,None,None,None,None,None,None,None,None,None,None,None,None
189,[[26.9668677 79.6947751]],None,None,None,None,None,None,None,None,None,None,None
190,"[[26.9794628 79.6993914]
 [26.9793466 79.6995234]]",None,None,None,None,None,None,None,None,None,None,None
191,"[[26.9858532 79.6962485]
 [26.9860204 79.6965016]]",None,None,None,None,None,None,None,None,None,None,None
192,None,None,None,None,None,None,None,None,None,None,None,None
193,"[[27.0022541 79.6989401]
 [27.00202   79.6989933]]","[[27.0022541 79.6989401]
 [27.00202   79.6989933]]",None,None,None,None,None,None,None,None,None,None
194,[[27.0188667 79.694595 ]],None,None,None,None,None,None,None,None,None,None,None
195,[[27.0296784 79.6951103]],None,None,None,None,None,None,None,None,None,None,[[27.0296784 79.6951103]]
196,None,None,None,None,None,None,None,None,None,None,None,None
197,None,None,None,None,None,None,None,None,None,None,None,None
198,None,None,None,None,None,None,None,None,None,None,None,None
199,None,None,None,None,None,None,None,None,None,None,None,None
200,None,None,None,None,None,None,None,None,None,None,None,None
201,None,None,None,None,None,None,None,None,None,None,None,None
202,None,None,None,None,None,None,None,None,None,None,None,None
203,None,None,None,None,None,None,None,None,None,None,None,None
204,"[[27.1125065 79.6920831]
 [27.1121438 79.6929481]
 [27.1135292 79.6938573]]",None,None,None,None,None,None,None,None,None,None,None
