Grid_number,school,primary_school,bus_station,taxi_stand,train_station,bank,local_government_office,police,doctor,hospital,department_store,supermarket
4247,None,None,None,None,None,None,None,None,None,None,None,None
4248,None,None,None,None,None,None,None,None,None,None,None,None
4249,None,None,None,None,None,None,None,None,None,None,None,None
4250,None,None,None,None,None,None,None,None,None,None,None,None
4251,None,None,None,None,None,None,None,None,None,None,None,None
4252,None,None,None,None,None,None,None,None,None,None,None,None
4253,None,None,None,None,None,None,None,None,None,None,None,None
4254,None,None,None,None,None,None,None,None,None,None,None,None
4255,None,None,None,None,None,None,None,None,None,None,None,None
4256,None,None,None,None,None,None,None,None,None,None,None,None
4257,None,None,None,None,None,None,None,None,None,None,None,None
4258,None,None,None,None,None,None,None,None,None,None,None,None
4259,None,None,None,None,None,None,None,None,None,None,None,None
4260,[[23.4576663 86.3386432]],None,None,None,None,None,None,None,None,None,None,None
4261,None,None,None,None,None,None,None,None,None,None,None,None
4262,None,None,None,None,None,None,None,None,None,None,None,None
4263,[[23.4863376 86.3374775]],[[23.4863376 86.3374775]],None,None,None,None,None,None,None,None,None,None
4264,None,None,None,None,None,None,None,None,None,None,None,None
4265,"[[23.5028257 86.3322482]
 [23.5024647 86.3322606]]",[[23.5028257 86.3322482]],None,None,None,None,None,None,None,None,None,None
4266,None,None,None,None,None,None,None,None,None,None,None,None
4267,None,None,None,None,None,None,None,None,None,None,None,None
4268,"[[23.5304999 86.3302543]
 [23.5305915 86.3313174]
 [23.5304328 86.3317472]
 [23.5308441 86.3338296]
 [23.5303867 86.3350641]]",None,None,None,None,None,None,None,None,None,None,None
4269,None,None,None,None,None,None,None,None,None,None,None,None
4270,[[23.552476 86.337583]],None,None,None,None,None,None,None,None,None,None,None
4271,"[[23.5631076 86.3335155]
 [23.5694812 86.3362273]
 [23.5605313 86.3322052]
 [23.5602306 86.3364907]
 [23.5601806 86.3364921]]",[[23.5601806 86.3364921]],None,None,None,None,None,None,[[23.5694638 86.3362851]],None,None,None
4272,[[23.5704244 86.3391796]],None,None,None,None,None,None,None,None,None,None,None
4273,"[[23.5836667 86.3317305]
 [23.5833852 86.332115 ]
 [23.5875229 86.3359647]]",[[23.5836667 86.3317305]],None,None,None,None,None,None,None,None,None,None
4274,[[23.59647975 86.3331567 ]],None,None,None,None,None,None,None,None,None,None,None
4275,None,None,None,None,None,None,None,None,None,None,None,None
4276,None,None,None,None,None,None,None,None,None,"[[23.616222  86.3310812]
 [23.6162348 86.3315253]]",None,None
4277,"[[23.6205287 86.3317499]
 [23.6205072 86.3318451]]",None,None,None,None,None,None,None,None,None,None,None
4278,None,None,None,None,None,None,None,None,None,None,None,None
4279,None,None,None,None,None,None,None,None,None,None,None,None
4280,None,None,None,None,None,None,None,None,None,None,None,None
4281,[[23.6672569 86.3398368]],None,None,None,None,None,None,None,None,None,None,None
4282,None,None,None,None,None,None,None,[[23.6798374 86.3368839]],None,None,None,None
4283,"[[23.6809706 86.3336587]
 [23.6809917 86.33369  ]
 [23.6844208 86.3367777]
 [23.6885184 86.3382006]
 [23.6884653 86.3383247]
 [23.6883431 86.3384544]]",[[23.6844208 86.3367777]],None,None,[[23.681749  86.3348614]],None,None,None,None,None,None,None
4284,"[[23.6917931 86.3360009]
 [23.6981854 86.3385983]]",None,None,None,None,None,None,None,None,None,None,None
4285,None,None,None,None,None,None,None,None,None,None,None,None
4286,"[[23.7131636 86.3379975]
 [23.7185937 86.338037 ]
 [23.7193602 86.3378499]]",None,None,None,None,None,None,None,None,None,None,[[23.7150066 86.3366416]]
4287,[[23.7201558 86.3379287]],None,None,None,None,None,None,None,None,None,None,None
4288,None,None,None,None,None,None,None,None,None,None,None,None
4289,"[[23.7450151 86.3322378]
 [23.7472968 86.337168 ]]",None,None,None,None,None,[[23.74671   86.3373346]],None,None,None,None,None
4290,"[[23.7562957 86.3347091]
 [23.7566447 86.3351236]
 [23.7565992 86.3351714]
 [23.758105  86.3352288]]",None,None,None,None,None,None,None,None,None,None,None
4291,[[23.76544235 86.33056135]],None,None,None,None,None,None,None,None,None,None,None
